id,name,belongs_to,main_category,created_at,updated_at,url,국민신문고 통합여부 1:미통합 2:통합,number_of_minwon,latest_minwon_date,조사시간,비고
61,남구,대구광역시,기초자치단체,55:22.0,00:56.0,http://eminwon.nam.daegu.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,1774,2020.6.30,2020-07-01 11:22:15.714025,
62,북구,대구광역시,기초자치단체,55:22.0,00:56.0,http://eminwon.buk.daegu.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,7663,2020.7.1,2020-07-01 11:22:20.296656,
63,수성구,대구광역시,기초자치단체,55:22.0,00:56.0,http://eminwon.suseong.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,6481,2020.6.27,2020-07-01 11:22:25.916211,
64,달서구,대구광역시,기초자치단체,55:22.0,00:56.0,http://eminwon.dalseo.daegu.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,8087,2020.7.1,2020-07-01 11:22:32.045939,
65,달성군,대구광역시,기초자치단체,55:22.0,00:56.0,http://eminwon.dalseong.daegu.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,5127,2020.7.1,2020-07-01 11:22:39.045043,
66,중구,인천광역시,기초자치단체,55:22.0,00:55.0,http://eminwon.icjg.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,2202,2020.7.1,2020-07-01 11:22:43.553051,
67,동구,인천광역시,기초자치단체,55:22.0,00:55.0,http://eminwon.icdonggu.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,2092,2020.6.27,2020-07-01 11:22:47.211886,
68,남구,인천광역시,기초자치단체,55:22.0,00:55.0,http://eminwon.michu.incheon.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,5634,2020.6.30,2020-07-01 11:22:52.428993,
69,연수구,인천광역시,기초자치단체,55:22.0,00:55.0,http://eminwon.yeonsu.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,602,2020.6.30,2020-07-01 11:22:59.320668,
70,남동구,인천광역시,기초자치단체,55:22.0,00:55.0,http://eminwon.namdong.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,2,16274,2017.3.28,2020-07-01 11:23:03.814347,
71,부평구,인천광역시,기초자치단체,55:22.0,00:55.0,http://eminwon.icbp.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,18291,2020.7.1,2020-07-01 11:23:10.236264,
72,계양구,인천광역시,기초자치단체,55:22.0,00:55.0,http://eminwon.gyeyang.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,4906,2020.7.1,2020-07-01 11:23:14.333952,
73,서구,인천광역시,기초자치단체,55:22.0,00:55.0,http://eminwon.seo.incheon.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,14484,2020.7.1,2020-07-01 11:23:22.186471,
74,강화군,인천광역시,기초자치단체,55:22.0,00:55.0,http://eminwon.ganghwa.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,491,2020.7.1,2020-07-01 11:23:26.131207,
